草创未就　就极刑而无愠色
(示例1)三顾频烦天下计　两朝开济老臣心
则遣从事以一少牢告庙　请其矢
(示例1)江天一色无纤尘　皎皎空中孤月轮
爱而不见 搔首踟蹰
静女其娈 贻我彤管
彤管有炜 说怿女美
自牧归 洵美且异
匪女之为美 美人之贻
与子同袍 与子同泽
修我戈矛 修我矛戟 修我甲兵
修我矛戟 与子偕作
岂曰无衣 与子同裳
帝高阳之苗裔兮 朕皇考曰伯庸
摄提贞于孟陬兮 惟庚寅吾以降
纷吾既有此内美兮 又重之以修能
扈江离与辟芷兮 纫秋兰以为佩
汩余若将不及兮 恐年岁之不吾与
朝搴阰之木兰兮 夕揽洲之宿莽
乘骐骥以驰骋兮 来吾道夫先路
涉江采芙蓉 兰泽多芳草
采之欲遗谁 所思在远道
还顾望旧乡 长路漫浩浩
还顾望旧乡 长路漫浩浩
同心而离居 忧伤以终老
山不厌高 海不厌深
月明星稀 乌鹊南飞
对酒当歌 人生几何
慨当以慷 忧思难忘
何以解忧 唯有杜康
青青子衿 悠悠我心
我有嘉宾 鼓瑟吹笙
明明如月 何时可掇
越陌度阡 枉用相存
绕树三匝 何枝可依
暧暧远人村 依依墟里烟
羁鸟恋旧林 池鱼思故渊
少无适俗韵 性本爱丘山
误落尘网中 一去三十年
开荒南野际 守拙归园田
暖暖远人村 依依墟里烟
狗吠深巷中 鸡鸣桑树颠
户庭无尘杂 虚室有余闲
久在樊笼里 复得返自然
久在樊笼里 复得返自然
泻水置平地 各自东西南北流
泻水置平地 各自东西南北流
泻水置平地 各自东西南北流
人生亦有命 安能行叹复坐愁
酌酒以自宽 举杯断绝歌《路难》
酌酒以自宽 举杯断绝歌《路难》
心非木石岂无感 吞声踯躅不敢言
春江潮水连海平 海上明月共潮生
滟滟随波千万里 何处春江无月明
月照花林皆似霰 碣石潇湘无限路
江天一色无纤尘 皎皎空中孤月轮
江畔何人初见月 江月何年初照人
白云一片去悠悠 青枫浦上不胜愁
谁家今夜扁舟子 何处相思明月楼
玉户帘中卷不去 捣衣砧上拂还来
此时相望不相闻 愿逐月华流照君
鸿雁长飞光不度 鱼龙潜跃水成文
空山新雨后 天气晚来秋
明月松间照 清泉石上流
明月松间照 清泉石上流
明月松间照 清泉石上流
竹喧归浣女 莲动下渔舟
竹喧归浣女 莲动下渔舟
竹喧归浣女 莲动下渔舟
随意春芳歇 王孙自可留
所守或匪亲 化为狼与豺
地崩山摧壮士死 然后天梯石栈相钩连
其险也如此 嗟尔远道之人胡为乎来哉
黄鹤之飞尚不得过 猿猱欲度愁攀援
蜀道之难 难于上青天
尔来四万八千岁 不与秦塞通人烟
西当太白有鸟道 可以横绝峨眉巅
地崩山摧壮士死 然后天梯石栈相钩连
上有六龙回日之高标 下有冲波逆折之回川
黄鹤之飞尚不得过 猿猱欲度愁攀援
青泥何盘盘 百步九折萦岩峦
扪参历井仰胁息 以手抚膺坐长叹
但见悲鸟号古木 雄飞雌从绕林间
又闻子规啼夜月 愁空山
连峰去天不盈尺 枯松倒挂倚绝壁
飞湍瀑流争喧豗 砯崖转石万壑雷
剑阁峥嵘而崔嵬 一夫当关 万夫莫开
所守或匪亲 化为狼与豺
锦城虽云乐 不如早还家
蜀道之难 难于上青天 侧身西望长咨嗟
天姥连天向天横 势拔五岳掩赤城
熊咆龙吟殷岩泉 栗深林兮惊层巅
熊咆龙吟殷岩泉 栗深林兮惊层巅
云青青兮欲雨 水澹澹兮生烟
霓为衣兮风为马 虎鼓瑟兮鸾回车
惟觉时之枕席 失向来之烟霞
安能摧眉折腰事权贵 使我不得开心颜
安能摧眉折腰事权贵 使我不得开心颜
安能摧眉折腰事权贵 使我不得开心颜
君不见黄河之水天上来 奔流到海不复回
人生得意须尽欢 莫使金樽空对月
莫使金樽空对月 古来圣贤皆寂寞
钟鼓馔玉不足贵 但愿长醉不愿醒
古来圣贤皆寂寞 惟有饮者留其名
古来圣贤皆寂寞 惟有饮者留其名
陈王昔时宴平乐 斗酒十千恣欢谑
主人何为言少钱 与尔同销万古愁
男儿本自重横行 天子非常赐颜色
拟金伐鼓下榆关 旌旆逶迤碣石间
校尉羽书飞瀚海 单于猎火照狼山
大漠穷秋塞草腓 孤城落日斗兵稀
铁衣远戍辛勤久 玉箸应啼别离后
少妇城南欲断肠 征人蓟北空回首
相看白刃血纷纷 死节从来岂顾勋
出师未捷身先死 长使英雄泪满襟
丞相祠堂何处寻 锦官城外柏森森
映阶碧草自春色 隔叶黄鹂空好音
三顾频烦天下计 两朝开济老臣心
花径不曾缘客扫 蓬门今始为君开
盘飧市远无兼味 樽酒家贫只旧醅
肯与邻翁相对饮 隔篱呼取尽余杯
无边落木萧萧下 不尽长江滚滚来
风急天高猿啸哀 渚清沙白鸟飞回
无边落木萧萧下 不尽长江滚滚来
无边落木萧萧下 不尽长江滚滚来
万里悲秋常作客 百年多病独登台
万里悲秋常作客 百年多病独登台
艰难苦恨繁霜鬓 潦倒新停浊酒杯
艰难苦恨繁霜鬓 潦倒新停浊酒杯
吴楚东南坼 乾坤日夜浮
昔闻洞庭水 今上岳阳楼
吴楚东南坼 乾坤日夜浮
亲朋无一字 老病有孤舟
戎马关山北 凭轩涕泗流
戎马关山北 凭轩涕泗流
戎马关山北 凭轩涕泗流
沉吟放拨插弦中 整顿衣裳起敛容
轻拢慢捻抹复挑 初为《霓裳》后《六幺》
别有幽愁暗恨生 此时无声胜有声
座中泣下谁最多 江州司马青衫湿
五陵年少争缠头 一曲红绡不知数
岂无山歌与村笛 呕哑嘲哳难为听
转轴拨弦三两声 未成曲调先有情
浔阳江头夜送客 枫叶荻花秋瑟瑟
醉不成欢惨将别 别时茫茫江浸月
千呼万唤始出来 犹抱琵琶半遮面
大弦嘈嘈如急雨 小弦切切如私语
嘈嘈切切错杂弹 大珠小珠落玉盘
间关莺语花底滑 幽咽泉流冰下难
银瓶乍破水浆迸 铁骑突出刀枪鸣
铁骑突出刀枪鸣 四弦一声如裂帛
东船西舫悄无言 唯见江心秋月白
门前冷落鞍马稀 老大嫁作商人妇
同是天涯沦落人 相逢何必曾相识
座中泣下谁最多 江州司马青衫湿
十二门前融冷光 二十三丝动紫皇
吴丝蜀桐张高秋 空山凝云颓不流
昆山玉碎凤凰叫 芙蓉泣露香兰笑
女娲炼石补天处 石破天惊逗秋雨
梦入神山教神妪 老鱼跳波瘦蛟舞
吴质不眠倚桂树 露脚斜飞湿寒兔
小山重叠金明灭 鬓云欲度香腮雪
鬓云欲度香腮雪
懒起画蛾眉 弄妆梳洗迟
照花前后镜 花面交相映
照花前后镜 花面交相映
新贴绣罗襦 双双金鹧鸪
新贴绣罗襦 双双金鹧鸪
锦瑟无端五十弦 一弦一柱思华年
锦瑟无端五十弦 一弦一柱思华年
庄生晓梦迷蝴蝶 望帝春心托杜鹃
沧海月明珠有泪 蓝田日暖玉生烟.
沧海月明珠有泪 蓝田日暖玉生烟
蓝田日暖玉生烟
此情可待成追忆 只是当时已惘然
雕栏玉砌应犹在 只是朱颜改
小楼昨夜又东风 恰似一江春水向东流
问君能有几多愁 恰似一江春水向东流
春花秋月何时了 往事知多少
小楼昨夜又东风 故国不堪回首月明中
小楼昨夜又东风 故国不堪回首月明中
雕栏玉砌应犹在 只是朱颜改
问君能有几多愁 恰似一江春水向东流
东南形胜 三吴都会 钱塘自古繁华
云树绕堤沙 怒涛卷霜雪 天堑无涯
市列珠玑 户盈罗绮 竞豪奢
市列珠玑 户盈罗绮
有三秋桂子 十里荷花、
羌管弄晴 菱歌泛夜 嬉嬉钓叟莲娃
千骑拥高牙 乘醉听箫鼓 吟赏烟霞
异日图将好景 归去凤池夸
千里澄江似练 翠峰如簇
归帆去棹残阳里 背西风 酒旗斜矗
彩舟云淡 星河鹭起
彩舟云淡 星河鹭起
千古凭高对此 谩嗟荣辱
六朝旧事随流水 但寒烟衰草凝绿
至今商女 时时犹唱 后庭遗曲
不思量 自难忘
千里孤坟 无处话凄凉
纵使相逢应不识
夜来幽梦忽还乡
小轩窗 正梳妆
相顾无言 惟有泪千行
人生如梦 一尊还酹江月
羽扇纶巾 樯橹灰飞烟灭
惊涛拍岸 卷起千堆雪
江山如画 一时多少豪杰
江山如画 一时多少豪杰
乱石穿空 惊涛拍岸
江山如画 一时多少豪杰
谈笑间 樯橹灰飞烟灭
谈笑间 樯橹灰飞烟灭
多情应笑我 早生华发
痴儿了却公家事 快阁东西倚晚晴
快阁东西倚晚晴
落木千山天远大 澄江一道月分明
落木千山天远大 澄江一道月分明
朱弦已为佳人绝 青眼聊因美酒横
万里归船弄长笛 此心吾与白鸥盟
金风玉露一相逢 便胜却人间无数
柔情似水 佳期如梦
两情若是久长时 又岂在朝朝暮暮
鸟雀呼晴 侵晓窥檐语
叶上初阳干宿雨 水面清圆 一一风荷举
水面清圆 一一风荷举
家住吴门 久作长安旅
小楫轻舟 梦入芙蓉浦
寻寻觅觅 冷冷清清 凄凄惨惨戚戚
三杯两盏淡酒 怎敌他、晚来风急
满地黄花堆积 憔悴损 如今有谁堪摘
梧桐更兼细雨 到黄昏、点点滴滴
这次第 怎一个愁字了得
早岁那知世事艰 中原北望气如山
楼船夜雪瓜洲渡 铁马秋风大散关
塞上长城空自许 镜中衰鬓已先斑
出师一表真名世 千载谁堪伯仲间
小楼一夜听春雨 深巷明朝卖杏花
小楼一夜听春雨 深巷明朝卖杏花
世味年来薄似纱 谁令骑马客京华
世味年来薄似纱 谁令骑马客京华
矮纸斜行闲作草 晴窗细乳戏分茶
素衣莫起风尘叹 犹及清明可到家
素衣莫起风尘叹 犹及清明可到家
洞庭青草 近中秋 更无一点风色
玉鉴琼田三万顷 着我扁舟一叶
素月分辉 明河共影 表里俱澄澈
悠然心会 妙处难与君说
孤光自照 肝肺皆冰雪
短发萧骚襟袖冷 稳泛沧浪空阔
细斟北斗 万象为宾客
扣舷独啸 不知今夕何夕
金戈铁马 气吞万里如虎
封狼居胥 赢得仓皇北顾
元嘉草草 封狼居胥 赢得仓皇北顾
千古江山 英雄无觅 孙仲谋处
舞榭歌台 风流总被 雨打风吹去
斜阳草树 寻常巷陌
佛狸祠下 一片神鸦社鼓
廉颇老矣 尚能饭否
中间多少行人泪 可怜无数山
西北望长安 可怜无数山
青山遮不住 毕竟东流去
东风夜放花千树 更吹落 星如雨
凤箫声动 玉壶光转 一夜鱼龙舞
蛾儿雪柳黄金缕 笑语盈盈暗香去
众里寻他千百度
蓦然回首 那人却在 灯火阑珊处
问长缨何时入手 .缚将戎主
少时棋柝曾联句 叹而今登楼揽镜 事机频误
君莫道投鞭虚语 自古一贤能制难有金汤便可无张许
快投笔 莫题柱
过春风十里 尽荠麦青青
自胡马窥江去后 废池乔木 犹厌言兵
渐黄昏 清角吹寒
